,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,TRPL_DBL,DBL_DBL,Fantasy_PTS
4,Ayo Dosunmu,24,6.0,8.0,0.75,1.0,2.0,0.5,0.0,0.0,0.0,0.0,2.0,1.0,3.0,2.0,3.0,13.0,-5.0,False,False,23.5
3,Ayo Dosunmu,27,5.0,10.0,0.5,2.0,7.0,0.286,0.0,0.0,0.0,4.0,2.0,0.0,2.0,3.0,2.0,12.0,-3.0,False,False,23.5
4,Ayo Dosunmu,25,2.0,3.0,0.667,0.0,0.0,0.0,3.0,3.0,1.0,3.0,4.0,0.0,0.0,2.0,1.0,7.0,-15.0,False,False,15.75
0,Bam Adebayo,38,10.0,19.0,0.526,1.0,1.0,1.0,2.0,2.0,1.0,6.0,5.0,2.0,0.0,5.0,5.0,23.0,-6.0,False,False,40.0
2,Bam Adebayo,33,8.0,14.0,0.571,0.0,0.0,0.0,0.0,1.0,0.0,5.0,3.0,1.0,1.0,1.0,1.0,16.0,2.0,False,False,30.25
0,Bam Adebayo,37,10.0,13.0,0.769,0.0,0.0,0.0,6.0,8.0,0.75,8.0,1.0,4.0,3.0,5.0,2.0,26.0,-12.0,False,False,49.0
3,Bam Adebayo,35,15.0,22.0,0.682,0.0,1.0,0.0,8.0,8.0,1.0,12.0,3.0,0.0,0.0,0.0,4.0,38.0,1.0,False,True,59.0
4,Bam Adebayo,26,7.0,14.0,0.5,0.0,0.0,0.0,7.0,7.0,1.0,6.0,3.0,0.0,1.0,3.0,2.0,21.0,-20.0,False,False,33.5
0,Bam Adebayo,37,9.0,16.0,0.563,0.0,0.0,0.0,5.0,6.0,0.833,6.0,4.0,0.0,2.0,1.0,6.0,23.0,6.0,False,False,40.0
1,Bam Adebayo,35,4.0,6.0,0.667,0.0,1.0,0.0,2.0,2.0,1.0,7.0,1.0,0.0,0.0,3.0,3.0,10.0,5.0,False,False,18.75
2,Bam Adebayo,36,9.0,18.0,0.5,0.0,1.0,0.0,12.0,14.0,0.857,10.0,1.0,1.0,0.0,3.0,2.0,30.0,12.0,False,True,46.0
